part_id,part_name,machine_id,supplier,stock_qty,reorder_threshold,unit_price_eur,last_restock_date
67,Valve,M-15,Bosch Rexroth,69,13,791.17,2024-09-13 23:42:33
68,Motor,M-19,Festo,128,60,285.47,2024-04-02 14:43:59
69,Fuse,M-6,Festo,53,21,641.79,2024-03-07 18:03:21
70,Controller,M-16,Bosch Rexroth,159,25,775.73,2024-09-05 08:04:37
71,Sensor,M-15,RS Components,199,30,65.76,2024-11-02 02:03:27
72,Controller,M-12,RS Components,178,23,451.68,2024-03-14 17:32:23
73,Sensor,M-5,Festo,260,65,398.89,2024-10-18 17:04:09
74,Filter,M-3,Siemens,134,79,856.19,2024-03-24 20:59:46
75,Motor,M-1,Sonepar,53,78,588.16,2024-08-22 13:32:45
76,Bearing,M-17,Bosch Rexroth,190,32,243.74,2024-10-23 12:42:54
77,Controller,M-17,Festo,2,26,196.28,2024-08-27 15:17:35
78,Valve,M-20,RS Components,152,19,23.9,2024-06-28 03:44:23
79,Valve,M-15,Sonepar,232,34,558.43,2024-10-19 19:17:29
80,Valve,M-2,Siemens,272,35,467.17,2024-02-21 11:16:06
81,Belt,M-17,Bosch Rexroth,8,70,538.29,2024-02-06 16:16:21
82,Sensor,M-18,Sonepar,78,34,90.09,2024-07-19 23:59:50
83,Controller,M-17,Festo,66,37,198.75,2024-05-21 23:17:29
84,Motor,M-8,Festo,135,8,331.0,2024-01-16 05:53:01
85,Valve,M-9,Sonepar,191,16,523.93,2024-03-21 14:00:35
86,Motor,M-19,Siemens,270,59,266.55,2024-07-24 16:23:25
87,Valve,M-3,Festo,69,37,519.0,2024-05-22 02:07:52
88,Valve,M-19,RS Components,195,29,395.76,2024-03-06 20:55:40
89,Sensor,M-12,Sonepar,68,31,8.07,2024-02-14 18:13:15
90,Sensor,M-4,Sonepar,128,50,318.81,2024-04-20 04:11:19
91,Fuse,M-8,RS Components,183,74,56.79,2024-05-12 11:18:00
92,Fuse,M-14,Siemens,103,15,345.79,2024-05-21 20:08:49
93,Pump,M-2,Bosch Rexroth,213,10,267.25,2024-07-28 03:19:17
94,Motor,M-3,Siemens,106,31,587.35,2024-01-14 10:02:30
95,Sensor,M-5,Schneider,42,45,750.21,2024-03-30 15:54:25
96,Gear,M-8,Bosch Rexroth,185,43,894.81,2024-02-10 17:23:33
97,Fuse,M-11,RS Components,128,47,330.0,2024-01-15 00:51:36
98,Bearing,M-8,RS Components,60,39,775.46,2024-03-17 07:10:09
99,Valve,M-6,Festo,110,51,111.59,2024-09-25 20:31:22
100,Controller,M-8,RS Components,97,41,441.87,2024-02-28 22:21:54
101,Controller,M-6,Siemens,132,68,248.05,2024-07-16 20:31:23
102,Bearing,M-3,Siemens,172,10,616.01,2024-01-16 22:31:50
103,Bearing,M-13,Bosch Rexroth,135,52,30.55,2024-07-28 17:28:25
104,Filter,M-1,RS Components,168,7,612.99,2024-09-25 17:04:44
105,Valve,M-13,Schneider,96,66,131.21,2024-06-12 05:19:21
106,Filter,M-16,Sonepar,182,13,69.95,2024-08-04 09:18:15
107,Valve,M-2,Festo,68,20,102.45,2024-11-29 13:31:31
108,Filter,M-19,Sonepar,55,25,824.63,2024-06-29 12:40:32
109,Controller,M-8,Bosch Rexroth,32,76,440.34,2024-03-10 21:46:19
110,Controller,M-1,Bosch Rexroth,280,45,834.44,2024-12-19 03:57:22
111,Filter,M-10,Bosch Rexroth,160,58,818.16,2024-02-01 06:21:41
112,Valve,M-1,Schneider,44,53,625.03,2024-08-27 22:45:29
113,Controller,M-10,RS Components,141,26,452.78,2024-11-05 01:00:49
114,Gear,M-19,RS Components,162,55,758.77,2024-06-28 22:28:43
115,Bearing,M-3,Bosch Rexroth,11,60,654.21,2024-03-03 14:02:10
116,Gear,M-20,Siemens,299,78,34.27,2024-08-18 11:18:29
117,Valve,M-1,Sonepar,93,60,695.3,2024-04-04 00:27:03
118,Gear,M-13,Siemens,220,30,199.02,2024-12-13 06:51:06
119,Sensor,M-18,RS Components,6,70,447.21,2024-08-31 02:58:20
120,Fuse,M-9,RS Components,54,44,280.34,2024-06-26 08:52:18
