cycle_id,step_name,duration_sec,machine_id
41,Quality_Check,87,M-17
41,Welding,1,M-15
42,Assembly,57,M-9
42,Packaging,72,M-8
42,Welding,83,M-11
43,Assembly,57,M-11
43,Welding,81,M-6
44,Assembly,12,M-5
44,Cutting,119,M-1
44,Packaging,92,M-19
44,Quality_Check,13,M-9
44,Welding,57,M-13
45,Packaging,29,M-20
45,Welding,49,M-3
46,Assembly,119,M-19
46,Cutting,25,M-17
46,Packaging,57,M-19
46,Quality_Check,99,M-17
46,Welding,1,M-17
47,Cutting,24,M-12
47,Packaging,16,M-13
47,Quality_Check,105,M-18
48,Assembly,57,M-15
48,Cutting,115,M-9
49,Cutting,54,M-3
49,Packaging,6,M-16
50,Assembly,116,M-13
50,Cutting,63,M-2
50,Packaging,9,M-16
50,Quality_Check,40,M-3
51,Packaging,24,M-1
51,Quality_Check,113,M-2
51,Welding,67,M-20
52,Assembly,41,M-10
52,Cutting,63,M-15
52,Packaging,109,M-15
52,Quality_Check,20,M-18
52,Welding,64,M-17
53,Cutting,9,M-17
53,Quality_Check,64,M-15
54,Assembly,18,M-12
54,Cutting,23,M-20
54,Packaging,120,M-9
54,Quality_Check,57,M-12
54,Welding,13,M-5
55,Assembly,105,M-13
55,Packaging,57,M-16
55,Quality_Check,57,M-6
56,Assembly,70,M-4
56,Packaging,73,M-11
56,Quality_Check,74,M-1
56,Welding,91,M-4
57,Assembly,9,M-12
57,Cutting,85,M-3
57,Welding,90,M-13
58,Assembly,101,M-17
58,Cutting,53,M-9
58,Packaging,85,M-14
58,Quality_Check,70,M-7
58,Welding,63,M-5
59,Assembly,95,M-15
59,Quality_Check,10,M-2
60,Cutting,77,M-10
60,Quality_Check,110,M-14
60,Welding,22,M-6
61,Assembly,32,M-6
61,Cutting,9,M-7
61,Packaging,90,M-4
61,Welding,67,M-16
62,Assembly,39,M-8
62,Cutting,13,M-11
62,Packaging,99,M-5
62,Quality_Check,13,M-6
62,Welding,77,M-18
63,Packaging,95,M-13
63,Quality_Check,95,M-17
63,Welding,41,M-1
64,Assembly,82,M-5
64,Quality_Check,5,M-16
64,Welding,61,M-19
65,Cutting,88,M-13
65,Packaging,69,M-1
65,Welding,104,M-14
66,Cutting,111,M-19
66,Quality_Check,115,M-1
66,Welding,8,M-13
67,Assembly,17,M-15
67,Cutting,11,M-18
67,Packaging,22,M-8
67,Quality_Check,28,M-17
67,Welding,57,M-1
68,Assembly,101,M-4
68,Welding,54,M-17
69,Cutting,39,M-13
69,Welding,56,M-8
70,Cutting,107,M-9
70,Welding,70,M-8
71,Assembly,4,M-1
71,Cutting,97,M-3
71,Packaging,95,M-10
71,Quality_Check,55,M-8
71,Welding,39,M-16
72,Assembly,91,M-7
72,Cutting,119,M-3
72,Packaging,42,M-16
72,Quality_Check,57,M-10
72,Welding,97,M-12
73,Assembly,57,M-10
73,Cutting,17,M-20
73,Welding,109,M-8
74,Assembly,27,M-13
74,Cutting,3,M-7
74,Packaging,4,M-20
74,Quality_Check,57,M-20
74,Welding,26,M-14
75,Assembly,70,M-4
75,Cutting,90,M-15
76,Assembly,38,M-6
76,Welding,109,M-2
77,Assembly,61,M-3
77,Packaging,79,M-14
77,Quality_Check,33,M-4
77,Welding,57,M-3
78,Assembly,69,M-14
78,Packaging,87,M-12
79,Cutting,40,M-12
79,Quality_Check,104,M-7
80,Assembly,6,M-2
80,Cutting,57,M-15
80,Quality_Check,57,M-13
80,Welding,53,M-13
81,Assembly,82,M-9
81,Cutting,75,M-20
81,Packaging,71,M-9
81,Welding,1,M-9
82,Cutting,17,M-16
82,Packaging,109,M-13
82,Quality_Check,54,M-14
82,Welding,116,M-5
83,Assembly,50,M-11
83,Cutting,71,M-15
83,Packaging,10,M-17
83,Quality_Check,40,M-13
83,Welding,82,M-20
84,Assembly,57,M-16
84,Cutting,99,M-4
84,Quality_Check,73,M-6
85,Cutting,97,M-16
85,Welding,43,M-4
86,Assembly,50,M-18
86,Cutting,65,M-9
86,Packaging,21,M-10
86,Quality_Check,58,M-12
86,Welding,55,M-9
87,Assembly,29,M-10
87,Cutting,38,M-11
87,Quality_Check,52,M-8
88,Quality_Check,52,M-17
88,Welding,49,M-4
89,Assembly,2,M-7
89,Cutting,104,M-12
89,Packaging,57,M-10
89,Quality_Check,49,M-4
89,Welding,39,M-3
90,Assembly,79,M-7
90,Packaging,57,M-4
90,Quality_Check,57,M-12
90,Welding,77,M-5
91,Assembly,57,M-20
91,Welding,42,M-1
92,Assembly,94,M-4
92,Cutting,113,M-3
92,Quality_Check,9,M-7
92,Welding,57,M-16
93,Assembly,94,M-10
93,Cutting,3,M-10
93,Packaging,91,M-9
93,Quality_Check,81,M-14
93,Welding,68,M-14
94,Assembly,93,M-19
94,Cutting,93,M-7
94,Packaging,19,M-3
94,Quality_Check,30,M-14
94,Welding,57,M-14
95,Assembly,26,M-13
95,Cutting,12,M-19
95,Quality_Check,3,M-18
95,Welding,84,M-17
96,Assembly,31,M-17
96,Packaging,17,M-13
96,Welding,33,M-3
97,Assembly,70,M-2
97,Cutting,31,M-8
97,Packaging,40,M-16
97,Quality_Check,93,M-20
97,Welding,89,M-3
98,Assembly,30,M-13
98,Cutting,81,M-4
98,Packaging,92,M-17
99,Assembly,57,M-11
99,Cutting,106,M-18
99,Packaging,20,M-13
100,Cutting,35,M-1
100,Packaging,118,M-15
100,Quality_Check,98,M-13
100,Welding,84,M-15
101,Packaging,109,M-8
101,Quality_Check,104,M-20
102,Assembly,22,M-12
102,Cutting,119,M-17
102,Packaging,13,M-15
102,Quality_Check,100,M-12
102,Welding,57,M-2
103,Cutting,120,M-3
103,Quality_Check,86,M-5
103,Welding,3,M-17
104,Cutting,39,M-5
104,Packaging,115,M-10
105,Assembly,54,M-6
105,Cutting,72,M-20
105,Packaging,60,M-15
106,Cutting,71,M-12
106,Quality_Check,119,M-8
106,Welding,57,M-20
107,Assembly,93,M-6
107,Packaging,61,M-11
108,Assembly,105,M-18
108,Cutting,90,M-12
108,Packaging,84,M-19
108,Quality_Check,57,M-13
108,Welding,16,M-9
109,Cutting,2,M-10
109,Packaging,35,M-20
109,Welding,103,M-8
110,Cutting,83,M-2
110,Packaging,28,M-10
110,Quality_Check,100,M-14
110,Welding,57,M-8
111,Assembly,3,M-1
111,Quality_Check,1,M-1
111,Welding,80,M-10
112,Packaging,47,M-14
112,Welding,67,M-19
113,Assembly,111,M-6
113,Quality_Check,52,M-5
113,Welding,24,M-1
114,Assembly,116,M-8
114,Cutting,92,M-9
114,Packaging,57,M-2
114,Quality_Check,103,M-20
114,Welding,79,M-20
115,Cutting,57,M-13
115,Packaging,37,M-8
115,Quality_Check,30,M-2
116,Assembly,41,M-17
116,Cutting,26,M-14
117,Assembly,112,M-18
117,Cutting,10,M-15
117,Packaging,66,M-2
117,Quality_Check,101,M-15
117,Welding,57,M-13
118,Assembly,49,M-2
118,Cutting,21,M-11
118,Packaging,57,M-2
119,Assembly,56,M-8
119,Packaging,65,M-7
119,Quality_Check,11,M-17
119,Welding,57,M-6
120,Assembly,89,M-11
120,Cutting,110,M-16
120,Welding,51,M-13
121,Cutting,49,M-19
121,Quality_Check,68,M-7
122,Assembly,57,M-2
122,Cutting,18,M-4
122,Packaging,57,M-1
122,Quality_Check,26,M-1
122,Welding,31,M-12
123,Cutting,1,M-3
123,Packaging,83,M-7
123,Welding,6,M-13
124,Assembly,42,M-4
124,Packaging,57,M-2
125,Quality_Check,15,M-7
125,Welding,15,M-5
126,Assembly,2,M-12
126,Packaging,55,M-10
126,Quality_Check,72,M-20
126,Welding,57,M-12
127,Assembly,45,M-3
127,Cutting,110,M-2
127,Packaging,101,M-1
127,Quality_Check,63,M-6
127,Welding,15,M-12
128,Cutting,14,M-16
128,Quality_Check,37,M-16
128,Welding,79,M-16
129,Cutting,10,M-16
129,Packaging,62,M-7
129,Quality_Check,32,M-4
129,Welding,49,M-16
130,Packaging,91,M-3
130,Welding,14,M-13
131,Assembly,107,M-5
131,Cutting,99,M-18
131,Packaging,87,M-8
131,Quality_Check,57,M-12
131,Welding,118,M-6
132,Assembly,102,M-9
132,Packaging,33,M-15
132,Quality_Check,49,M-5
132,Welding,75,M-15
133,Assembly,29,M-5
133,Packaging,67,M-20
133,Quality_Check,53,M-11
134,Assembly,56,M-4
134,Cutting,28,M-5
134,Packaging,32,M-4
134,Quality_Check,40,M-13
135,Assembly,89,M-15
135,Cutting,57,M-1
135,Quality_Check,61,M-7
135,Welding,17,M-4
136,Assembly,55,M-20
136,Cutting,97,M-8
136,Packaging,52,M-14
136,Quality_Check,57,M-5
136,Welding,93,M-1
137,Assembly,100,M-11
137,Cutting,56,M-4
137,Packaging,97,M-8
138,Assembly,57,M-20
138,Cutting,115,M-4
138,Packaging,36,M-11
138,Quality_Check,57,M-13
138,Welding,94,M-17
139,Assembly,79,M-4
139,Welding,31,M-7
140,Assembly,77,M-14
140,Cutting,21,M-20
140,Packaging,84,M-17
140,Quality_Check,37,M-13
140,Welding,106,M-7
141,Assembly,97,M-14
141,Cutting,92,M-2
141,Quality_Check,80,M-19
141,Welding,57,M-3
142,Assembly,108,M-7
142,Cutting,46,M-13
142,Quality_Check,32,M-5
142,Welding,7,M-7
143,Assembly,22,M-16
143,Cutting,80,M-8
143,Packaging,109,M-10
143,Quality_Check,58,M-13
143,Welding,54,M-14
144,Cutting,52,M-10
144,Quality_Check,61,M-12
144,Welding,72,M-16
145,Assembly,78,M-19
145,Cutting,4,M-3
145,Packaging,57,M-1
145,Quality_Check,67,M-13
145,Welding,73,M-5
146,Assembly,37,M-15
146,Cutting,15,M-19
146,Welding,26,M-8
147,Assembly,13,M-18
147,Cutting,10,M-15
147,Packaging,66,M-7
147,Quality_Check,116,M-7
148,Cutting,49,M-5
148,Packaging,57,M-14
149,Assembly,57,M-6
149,Cutting,117,M-6
149,Packaging,117,M-10
149,Quality_Check,115,M-8
149,Welding,72,M-15
150,Assembly,1,M-11
150,Cutting,14,M-17
150,Packaging,113,M-16
150,Quality_Check,57,M-20
150,Welding,82,M-1
151,Assembly,76,M-4
151,Cutting,96,M-5
151,Welding,83,M-11
152,Assembly,3,M-10
152,Cutting,75,M-17
152,Packaging,98,M-9
152,Quality_Check,64,M-12
152,Welding,116,M-13
153,Assembly,12,M-2
153,Cutting,66,M-5
153,Packaging,20,M-11
153,Welding,39,M-11
154,Assembly,86,M-20
154,Cutting,5,M-17
154,Packaging,66,M-4
154,Quality_Check,57,M-2
154,Welding,38,M-16
155,Cutting,34,M-4
155,Packaging,57,M-15
155,Quality_Check,36,M-2
156,Assembly,57,M-11
156,Cutting,56,M-10
156,Packaging,37,M-14
156,Quality_Check,57,M-14
156,Welding,3,M-16
157,Cutting,93,M-15
157,Quality_Check,7,M-1
158,Assembly,44,M-5
158,Cutting,21,M-3
158,Packaging,11,M-16
158,Quality_Check,57,M-14
158,Welding,57,M-1
159,Assembly,52,M-15
159,Cutting,57,M-9
159,Quality_Check,37,M-2
160,Assembly,107,M-9
160,Cutting,3,M-2
160,Packaging,57,M-2
160,Welding,57,M-20
161,Quality_Check,69,M-20
161,Welding,32,M-16
162,Packaging,32,M-5
162,Welding,102,M-16
163,Assembly,88,M-15
163,Welding,96,M-16
164,Assembly,57,M-5
164,Packaging,5,M-20
164,Quality_Check,69,M-19
164,Welding,75,M-20
165,Assembly,105,M-10
165,Cutting,57,M-10
165,Packaging,57,M-9
165,Quality_Check,57,M-11
165,Welding,98,M-6
166,Assembly,11,M-18
166,Packaging,117,M-12
166,Quality_Check,114,M-13
167,Assembly,4,M-13
167,Quality_Check,55,M-19
167,Welding,109,M-7
168,Packaging,80,M-3
168,Quality_Check,12,M-18
169,Packaging,41,M-7
169,Quality_Check,72,M-16
169,Welding,119,M-19
170,Assembly,64,M-12
170,Cutting,81,M-13
170,Quality_Check,28,M-8
171,Quality_Check,17,M-12
171,Welding,108,M-3
172,Assembly,57,M-7
172,Cutting,57,M-4
172,Welding,61,M-17
173,Assembly,23,M-9
173,Cutting,86,M-3
173,Packaging,14,M-15
173,Quality_Check,57,M-11
173,Welding,41,M-6
174,Cutting,84,M-15
174,Packaging,114,M-3
175,Assembly,104,M-6
175,Cutting,12,M-17
175,Packaging,90,M-6
175,Quality_Check,46,M-6
175,Welding,84,M-8
176,Packaging,57,M-2
176,Welding,5,M-18
177,Cutting,66,M-19
177,Packaging,27,M-11
177,Quality_Check,57,M-7
177,Welding,102,M-4
178,Assembly,102,M-8
178,Cutting,109,M-7
178,Packaging,87,M-6
178,Quality_Check,26,M-1
178,Welding,85,M-16
179,Assembly,9,M-20
179,Packaging,85,M-5
180,Assembly,46,M-2
180,Cutting,76,M-11
180,Packaging,19,M-12
180,Quality_Check,49,M-16
180,Welding,26,M-11
181,Assembly,97,M-14
181,Packaging,53,M-5
181,Quality_Check,28,M-9
182,Packaging,56,M-16
182,Welding,75,M-6
183,Quality_Check,29,M-17
183,Welding,113,M-4
184,Assembly,63,M-4
184,Quality_Check,55,M-7
185,Cutting,31,M-2
185,Packaging,65,M-5
185,Quality_Check,14,M-13
185,Welding,64,M-14
186,Quality_Check,120,M-5
186,Welding,103,M-1
187,Assembly,94,M-7
187,Cutting,36,M-17
187,Packaging,36,M-5
187,Welding,60,M-19
188,Assembly,10,M-3
188,Packaging,116,M-9
188,Welding,34,M-7
189,Assembly,57,M-3
189,Packaging,68,M-7
189,Welding,94,M-2
190,Assembly,53,M-6
190,Packaging,94,M-16
190,Quality_Check,24,M-9
190,Welding,13,M-1
191,Assembly,104,M-17
191,Cutting,57,M-12
191,Quality_Check,81,M-8
191,Welding,8,M-4
192,Assembly,24,M-1
192,Cutting,57,M-17
192,Packaging,52,M-3
192,Quality_Check,116,M-15
193,Assembly,54,M-18
193,Cutting,57,M-1
193,Packaging,16,M-10
194,Assembly,57,M-20
194,Welding,108,M-17
195,Assembly,21,M-15
195,Cutting,1,M-9
195,Quality_Check,14,M-6
196,Assembly,32,M-1
196,Cutting,27,M-19
196,Packaging,93,M-5
196,Quality_Check,108,M-13
196,Welding,48,M-8
197,Assembly,101,M-19
197,Cutting,51,M-11
197,Packaging,72,M-13
197,Quality_Check,76,M-13
197,Welding,3,M-11
198,Assembly,17,M-17
198,Quality_Check,37,M-3
198,Welding,57,M-12
199,Assembly,97,M-13
199,Cutting,57,M-2
199,Quality_Check,47,M-5
199,Welding,106,M-2
200,Cutting,50,M-2
200,Packaging,15,M-9
200,Quality_Check,57,M-14
200,Welding,21,M-17
201,Assembly,109,M-19
201,Cutting,20,M-2
201,Packaging,27,M-15
201,Welding,58,M-3
202,Assembly,63,M-9
202,Packaging,65,M-14
203,Assembly,83,M-15
203,Cutting,46,M-13
203,Welding,41,M-18
204,Assembly,38,M-17
204,Packaging,57,M-8
204,Quality_Check,75,M-8
204,Welding,88,M-19
205,Assembly,30,M-18
205,Cutting,73,M-16
205,Packaging,45,M-10
205,Quality_Check,4,M-1
205,Welding,59,M-10
206,Packaging,102,M-2
206,Welding,89,M-15
207,Assembly,80,M-5
207,Cutting,96,M-11
207,Packaging,60,M-17
207,Welding,41,M-20
208,Quality_Check,22,M-14
208,Welding,16,M-1
209,Assembly,105,M-15
209,Cutting,18,M-13
209,Packaging,96,M-9
209,Quality_Check,64,M-12
209,Welding,63,M-12
210,Assembly,67,M-5
210,Cutting,101,M-19
210,Packaging,117,M-13
210,Quality_Check,103,M-10
210,Welding,37,M-18
211,Assembly,42,M-14
211,Cutting,57,M-1
211,Packaging,52,M-11
211,Quality_Check,2,M-9
211,Welding,117,M-10
212,Assembly,57,M-3
212,Packaging,89,M-15
212,Quality_Check,81,M-2
212,Welding,79,M-15
213,Assembly,97,M-16
213,Cutting,118,M-13
213,Quality_Check,29,M-7
214,Assembly,65,M-11
214,Cutting,34,M-4
214,Packaging,69,M-17
214,Quality_Check,82,M-11
214,Welding,83,M-3
215,Assembly,95,M-6
215,Cutting,57,M-14
215,Packaging,57,M-1
215,Quality_Check,17,M-12
215,Welding,5,M-19
216,Assembly,40,M-6
216,Cutting,57,M-1
216,Packaging,15,M-19
216,Welding,117,M-18
217,Assembly,21,M-5
217,Cutting,120,M-4
217,Packaging,95,M-20
217,Welding,30,M-17
218,Cutting,33,M-17
218,Packaging,115,M-15
219,Assembly,15,M-19
219,Cutting,50,M-12
219,Packaging,60,M-6
219,Quality_Check,6,M-12
219,Welding,57,M-9
220,Cutting,1,M-15
220,Packaging,91,M-19
220,Quality_Check,3,M-8
221,Assembly,1,M-6
221,Packaging,53,M-8
222,Assembly,7,M-8
222,Cutting,54,M-16
222,Welding,67,M-14
223,Assembly,52,M-3
223,Cutting,37,M-1
223,Packaging,114,M-1
223,Quality_Check,34,M-6
223,Welding,81,M-13
224,Assembly,79,M-18
224,Cutting,21,M-14
224,Quality_Check,88,M-11
224,Welding,93,M-3
225,Assembly,50,M-14
225,Packaging,57,M-9
225,Quality_Check,62,M-12
226,Assembly,13,M-7
226,Welding,51,M-5
227,Assembly,30,M-12
227,Packaging,109,M-8
227,Quality_Check,93,M-13
227,Welding,80,M-7
228,Packaging,56,M-20
228,Quality_Check,105,M-5
228,Welding,42,M-8
229,Assembly,57,M-19
229,Cutting,59,M-13
229,Packaging,120,M-7
229,Quality_Check,13,M-18
229,Welding,22,M-4
230,Assembly,38,M-4
230,Cutting,49,M-11
230,Welding,12,M-6
231,Packaging,118,M-10
231,Welding,39,M-3
232,Assembly,81,M-13
232,Cutting,92,M-10
232,Packaging,60,M-6
232,Quality_Check,108,M-5
233,Packaging,108,M-8
233,Welding,95,M-1
234,Assembly,31,M-14
234,Cutting,46,M-2
234,Packaging,40,M-10
234,Quality_Check,93,M-2
234,Welding,59,M-20
235,Cutting,48,M-19
235,Quality_Check,69,M-6
235,Welding,117,M-17
236,Cutting,18,M-2
236,Packaging,71,M-7
236,Quality_Check,63,M-2
236,Welding,2,M-8
237,Assembly,77,M-17
237,Cutting,46,M-9
237,Quality_Check,13,M-12
237,Welding,98,M-15
238,Assembly,56,M-8
238,Cutting,38,M-2
238,Packaging,22,M-16
238,Quality_Check,31,M-8
238,Welding,56,M-6
239,Assembly,78,M-14
239,Welding,13,M-7
240,Assembly,113,M-8
240,Packaging,51,M-1
240,Quality_Check,79,M-10
240,Welding,103,M-5
241,Assembly,20,M-18
241,Packaging,98,M-6
241,Quality_Check,29,M-20
242,Assembly,42,M-2
242,Cutting,5,M-9
242,Packaging,67,M-7
242,Quality_Check,82,M-16
242,Welding,18,M-10
243,Assembly,33,M-18
243,Cutting,82,M-10
243,Packaging,114,M-3
243,Quality_Check,8,M-2
243,Welding,57,M-15
244,Assembly,81,M-3
244,Cutting,72,M-1
244,Packaging,101,M-16
244,Welding,38,M-18
245,Cutting,65,M-12
245,Packaging,10,M-5
245,Quality_Check,91,M-5
245,Welding,57,M-1
246,Assembly,73,M-13
246,Cutting,37,M-12
246,Packaging,69,M-20
247,Assembly,54,M-8
247,Cutting,17,M-19
247,Packaging,93,M-2
247,Welding,4,M-2
248,Assembly,48,M-6
248,Packaging,10,M-5
248,Quality_Check,30,M-10
249,Cutting,45,M-12
249,Packaging,112,M-7
249,Quality_Check,57,M-15
250,Cutting,26,M-10
250,Quality_Check,8,M-2
251,Assembly,103,M-19
251,Cutting,65,M-1
251,Packaging,40,M-16
251,Quality_Check,79,M-19
251,Welding,32,M-13
252,Packaging,107,M-14
252,Welding,29,M-13
253,Cutting,66,M-19
253,Welding,97,M-12
254,Assembly,46,M-15
254,Cutting,96,M-12
254,Packaging,85,M-18
254,Quality_Check,51,M-19
254,Welding,11,M-5
255,Assembly,54,M-16
255,Cutting,54,M-4
255,Packaging,38,M-17
255,Quality_Check,41,M-18
255,Welding,18,M-8
256,Cutting,8,M-15
256,Packaging,18,M-17
256,Quality_Check,10,M-14
257,Cutting,90,M-18
257,Packaging,16,M-15
257,Welding,33,M-7
258,Assembly,85,M-2
258,Cutting,50,M-2
258,Packaging,44,M-15
258,Quality_Check,57,M-20
258,Welding,66,M-4
259,Cutting,19,M-12
259,Quality_Check,41,M-19
259,Welding,33,M-12
260,Cutting,85,M-17
260,Packaging,1,M-20
260,Quality_Check,80,M-4
260,Welding,81,M-16
261,Cutting,57,M-19
261,Packaging,57,M-8
261,Quality_Check,39,M-15
261,Welding,55,M-12
262,Assembly,64,M-13
262,Cutting,56,M-6
262,Packaging,28,M-18
262,Quality_Check,26,M-19
262,Welding,54,M-18
263,Assembly,9,M-6
263,Cutting,118,M-16
263,Packaging,57,M-2
263,Quality_Check,28,M-16
264,Assembly,9,M-12
264,Cutting,23,M-19
264,Packaging,45,M-10
264,Quality_Check,48,M-20
264,Welding,74,M-17
265,Assembly,82,M-15
265,Packaging,74,M-19
266,Assembly,53,M-15
266,Cutting,1,M-5
266,Packaging,26,M-9
266,Quality_Check,113,M-11
266,Welding,48,M-1
267,Assembly,15,M-12
267,Cutting,14,M-7
267,Packaging,99,M-19
267,Quality_Check,62,M-8
267,Welding,25,M-2
268,Assembly,93,M-11
268,Cutting,82,M-17
268,Welding,52,M-12
269,Packaging,84,M-8
269,Welding,113,M-17
270,Assembly,106,M-13
270,Cutting,104,M-13
270,Welding,42,M-1
271,Assembly,68,M-9
271,Cutting,77,M-3
271,Packaging,10,M-19
271,Quality_Check,38,M-19
272,Assembly,71,M-6
272,Packaging,7,M-16
272,Welding,81,M-14
273,Assembly,41,M-20
273,Cutting,45,M-2
273,Quality_Check,92,M-15
273,Welding,50,M-1
274,Cutting,2,M-3
274,Packaging,4,M-5
274,Quality_Check,8,M-19
274,Welding,77,M-5
275,Assembly,57,M-11
275,Welding,57,M-7
276,Assembly,1,M-3
276,Cutting,76,M-6
276,Packaging,4,M-14
276,Welding,93,M-20
277,Assembly,70,M-2
277,Packaging,71,M-19
277,Quality_Check,57,M-1
277,Welding,96,M-20
278,Assembly,43,M-5
278,Cutting,13,M-12
278,Quality_Check,82,M-14
278,Welding,78,M-18
279,Cutting,106,M-18
279,Packaging,56,M-16
279,Welding,57,M-10
280,Assembly,48,M-13
280,Cutting,82,M-5
280,Packaging,111,M-4
280,Welding,57,M-18
281,Assembly,118,M-7
281,Cutting,21,M-2
282,Packaging,31,M-17
282,Quality_Check,57,M-12
282,Welding,28,M-6
283,Cutting,72,M-1
283,Packaging,107,M-7
283,Quality_Check,78,M-13
284,Cutting,92,M-12
284,Packaging,5,M-8
285,Assembly,73,M-14
285,Cutting,80,M-7
285,Packaging,57,M-14
285,Quality_Check,54,M-1
285,Welding,51,M-8
286,Cutting,62,M-3
286,Packaging,74,M-1
286,Quality_Check,24,M-10
286,Welding,112,M-9
287,Assembly,3,M-7
287,Cutting,66,M-1
287,Packaging,82,M-2
287,Quality_Check,102,M-6
287,Welding,101,M-5
288,Assembly,24,M-10
288,Cutting,28,M-17
289,Assembly,76,M-13
289,Cutting,13,M-14
289,Quality_Check,75,M-2
289,Welding,50,M-7
290,Assembly,49,M-19
290,Cutting,119,M-20
291,Assembly,35,M-8
291,Cutting,18,M-4
291,Packaging,114,M-5
291,Quality_Check,99,M-1
291,Welding,27,M-18
292,Packaging,117,M-3
292,Welding,79,M-7
293,Cutting,35,M-1
293,Quality_Check,7,M-2
293,Welding,57,M-9
294,Assembly,57,M-15
294,Cutting,57,M-11
294,Packaging,82,M-9
295,Assembly,28,M-13
295,Packaging,58,M-13
295,Quality_Check,97,M-13
295,Welding,98,M-11
296,Assembly,86,M-8
296,Cutting,12,M-20
296,Packaging,57,M-2
296,Quality_Check,118,M-9
296,Welding,40,M-4
297,Assembly,77,M-19
297,Cutting,87,M-8
297,Packaging,106,M-19
297,Quality_Check,110,M-17
297,Welding,57,M-16
298,Assembly,57,M-9
298,Cutting,47,M-20
298,Packaging,111,M-12
298,Quality_Check,112,M-19
298,Welding,8,M-18
299,Assembly,83,M-17
299,Cutting,42,M-17
299,Welding,33,M-12
300,Assembly,107,M-6
300,Packaging,1,M-11
300,Welding,87,M-12
301,Assembly,12,M-9
301,Cutting,16,M-12
301,Packaging,67,M-15
301,Quality_Check,81,M-17
301,Welding,91,M-10
